topology,vswitchMode,isIsolated,tx (Mpps),rx (Mpps)
phy2phy,Baseline_DPDK,True,14.0,6.34123341
phy2phy,Baseline_NoDPDK_2Core,True,14.0,1.5
phy2phy,Baseline_NoDPDK_4Core,True,14.0,3.0
phy2phy,Baseline_DPDK_2Core,True,14.0,14.0
phy2phy,Baseline_DPDK_4Core,True,14.0,14.0
phy2phy,SRIOV_NoDPDK_TwoOvs,True,14.0,1.78968426
phy2phy,SRIOV_NoDPDK_FourOvs,True,14.0,3.61223238
phy2phy,SRIOV_DPDK_OneOvs,True,14.0,5.2212958899999995
phy2phy,SRIOV_DPDK_TwoOvs,True,14.0,10.624822029999999
phy2phy,SRIOV_DPDK_FourOvs,True,14.0,14.0
phy2vm2vm2phy,SRIOV_NoDPDK_TwoOvs,True,14.0,0.8322865
phy2vm2vm2phy,SRIOV_NoDPDK_FourOvs,True,14.0,1.73220009
phy2vm2vm2phy,SRIOV_DPDK_OneOvs,True,14.0,2.21576673
phy2vm2vm2phy,SRIOV_DPDK_TwoOvs,True,14.0,3.05214804
phy2vm2vm2phy,SRIOV_DPDK_FourOvs,True,14.0,2.9410469900000002
phy2vm2vm2phy,Baseline_DPDK,True,14.0,2.25789704
phy2vm2vm2phy,Baseline_NoDPDK_2Core,True,14.0,0.2
phy2vm2vm2phy,Baseline_NoDPDK_4Core,True,14.0,0.2
phy2vm2vm2phy,Baseline_DPDK_2Core,True,14.0,5.6
phy2vm2vm2phy,Baseline_DPDK_4Core,True,14.0,7.9
vm2vm,SRIOV_NoDPDK_TwoOvs,True,14.0,0.57935616
vm2vm,SRIOV_DPDK_OneOvs,True,14.0,1.29564818
vm2vm,SRIOV_DPDK_TwoOvs,True,14.0,1.57669053
vm2vm,Baseline_DPDK,True,14.0,1.28261903
vm2vm,Baseline_NoDPDK_2Core,True,14.0,0.1
vm2vm,Baseline_NoDPDK_4Core,True,14.0,0.1
vm2vm,Baseline_DPDK_2Core,True,14.0,3.5
vm2vm,Baseline_DPDK_4Core,True,14.0,5.5
